Application,Tool,Partition Count,Variant,Granularity,NED,Completeness,Actual Partition Count,Min,Max,Mean,Stdev,Median
demo,mem,4,3600_100_TS_SS,method_level,23.10756972111554,251 (85.1%),6,6,168,41.833333333333336,63.18359491724625,13.0
demo,mem,4,3600_100_TS_SS,class_level,34.09090909090909,44 (93.6%),6,1,25,7.333333333333333,9.309493362512628,3.5
spring-petclinic,mem,3,3600_100_TS_SS,method_level,0.0,100 (89.3%),2,4,96,50.0,65.05382386916237,50.0
spring-petclinic,mem,3,3600_100_TS_SS,class_level,0.0,19 (82.6%),2,2,17,9.5,10.606601717798213,9.5
demo,mem,4,3600_10_LC,method_level,39.189189189189186,74 (25.1%),7,1,44,10.571428571428571,14.909249286456856,5.0
demo,mem,4,3600_10_LC,class_level,72.22222222222221,18 (38.3%),7,1,5,2.5714285714285716,1.3972762620115438,3.0
partsunlimited,mem,5,3600_10_LC,method_level,28.07017543859649,57 (13.8%),2,16,41,28.5,17.67766952966369,28.5
partsunlimited,mem,5,3600_10_LC,class_level,100.0,4 (7.5%),2,2,2,2.0,0.0,2.0
spring-petclinic,mem,3,3600_10_LC,method_level,38.02816901408451,71 (63.4%),5,6,23,14.2,7.5960516059331775,13.0
spring-petclinic,mem,3,3600_10_LC,class_level,100.0,12 (52.2%),5,2,3,2.4,0.5477225575051661,2.0
demo,mem,4,3600_10_LC_SS,method_level,37.43589743589744,195 (66.1%),15,2,67,13.0,18.26784841502375,7.0
demo,mem,4,3600_10_LC_SS,class_level,79.41176470588236,34 (72.3%),15,1,7,2.2666666666666666,1.533747356112131,2.0
partsunlimited,mem,5,3600_10_LC_SS,method_level,56.91823899371069,318 (77.2%),14,1,45,22.714285714285715,15.142546129918287,27.5
partsunlimited,mem,5,3600_10_LC_SS,class_level,53.48837209302326,43 (81.1%),14,1,5,3.0714285714285716,1.6391501416322993,3.0
spring-petclinic,mem,3,3600_10_LC_SS,method_level,32.55813953488372,86 (76.8%),5,3,55,17.2,21.428952377566198,8.0
spring-petclinic,mem,3,3600_10_LC_SS,class_level,50.0,16 (69.6%),5,1,8,3.2,2.7748873851023217,2.0
demo,mem,4,3600_10_LC_TS,method_level,46.20689655172414,145 (49.2%),14,1,28,10.357142857142858,8.81089485420568,8.0
demo,mem,4,3600_10_LC_TS,class_level,72.41379310344827,29 (61.7%),14,1,4,2.0714285714285716,1.1411388181101378,2.0
partsunlimited,mem,5,3600_10_LC_TS,method_level,73.40425531914893,376 (91.3%),14,9,53,26.857142857142858,14.27131142083059,23.5
partsunlimited,mem,5,3600_10_LC_TS,class_level,62.5,44 (83.0%),14,2,6,3.4285714285714284,1.554857684028483,3.0
spring-petclinic,mem,3,3600_10_LC_TS,method_level,46.7741935483871,62 (55.4%),4,8,33,15.5,11.902380714238083,10.5
spring-petclinic,mem,3,3600_10_LC_TS,class_level,100.0,11 (47.8%),4,2,3,2.75,0.5,3.0
demo,mem,4,3600_10_LC_TS_SS,method_level,41.379310344827594,203 (68.8%),17,1,67,11.941176470588236,17.275237292998664,6.0
demo,mem,4,3600_10_LC_TS_SS,class_level,80.55555555555556,36 (76.6%),17,1,7,2.1176470588235294,1.4090046549415864,2.0
partsunlimited,mem,5,3600_10_LC_TS_SS,method_level,45.36423841059602,302 (73.3%),12,1,75,25.166666666666668,21.13520687613371,22.5
partsunlimited,mem,5,3600_10_LC_TS_SS,class_level,58.13953488372092,41 (77.4%),12,1,8,3.5833333333333335,2.391588796113782,3.0
spring-petclinic,mem,3,3600_10_LC_TS_SS,method_level,24.418604651162788,86 (76.8%),4,4,61,21.5,26.589471600616662,10.5
spring-petclinic,mem,3,3600_10_LC_TS_SS,class_level,53.84615384615385,13 (56.5%),4,2,6,3.25,1.8929694486000912,2.5
demo,mem,4,3600_10_SS,method_level,42.32804232804233,189 (64.1%),13,2,97,14.538461538461538,25.254093346806783,7.0
demo,mem,4,3600_10_SS,class_level,65.625,32 (68.1%),13,1,7,2.4615384615384617,1.6641005886756874,2.0
partsunlimited,mem,5,3600_10_SS,method_level,51.91740412979351,339 (82.3%),13,1,62,26.076923076923077,19.085166746549262,28.0
partsunlimited,mem,5,3600_10_SS,class_level,69.04761904761905,42 (79.2%),13,1,7,3.230769230769231,2.006400016357911,3.0
spring-petclinic,mem,3,3600_10_SS,method_level,48.529411764705884,68 (60.7%),5,3,32,13.6,11.126544836560898,9.0
spring-petclinic,mem,3,3600_10_SS,class_level,66.66666666666667,12 (52.2%),5,1,4,2.4,1.140175425099138,2.0
demo,mem,4,3600_10_TS,method_level,56.61764705882353,136 (46.1%),17,2,23,8.0,5.744562646538029,6.0
